instruction,intent
[INT] [BOT]  [USR] Hey can i get the status of my latest order?,track_order
"[INT] track_order [BOT] Sure! Could you provide me with the order ID? [USR] Yeah, the order ID is 121212.",give_order_id
[INT] [BOT]  [USR] I want to get the status of order 12121.,track_order
[INT] [BOT]  [USR] Can you share the details of an order?,track_order
"[INT] track_order [BOT] Yeah can you provide me with the order ID? [USR] Yeah, I will share the order ID. It is 212131413.",give_order_id
[INT] [BOT]  [USR] Could you tell me the status of my recent order?,track_order
[INT] track_order [BOT] Sure! Could you provide me with the order ID? [USR] The order ID is 54321,give_order_id
[INT] [BOT]  [USR] I want to know where my order is. Can you help me?,track_order
[INT] track_order [BOT] Absolutely! Could you provide me with the order number? [USR] Yeah the order number is 987654321,give_order_id
[INT] [BOT]  [USR] Can you provide me with an update on my order?,track_order
[INT] track_order [BOT] For which order would you like an update? [USR] Order ID is 5643.,give_order_id
[INT] [BOT]  [USR] Where is my order? I placed it recently.,track_order
[INT] track_order [BOT] Can you provide me with the order ID? [USR] I looked up my order history and i found that the order id is 212142.,give_order_id
[INT] [BOT]  [USR] Can you help me track my order?,track_order
[INT] track_order [BOT] Sure! Could you provide me with your order number? [USR] It's 12345.,give_order_id
[INT] [BOT]  [USR] Where is my order?,track_order
[INT] track_order [BOT] Can you share the order number so I can check for you? [USR] It's 67890.,give_order_id
[INT] [BOT]  [USR] I’d like to know the status of my order.,track_order
[INT] track_order [BOT] Please provide your order number. [USR] It’s 23456.,give_order_id
[INT] [BOT]  [USR] I’d like to check the status of my order.,track_order
[INT] track_order [BOT] Please provide your order number. [USR] 67890.,give_order_id
[INT] [BOT]  [USR] Can you tell me where my order is?,track_order
[INT] track_order [BOT] Could you please provide the order number? [USR] My order number is 34567.,give_order_id
[INT] [BOT]  [USR] Where is my package? I need to track it.,track_order
[INT] track_order [BOT] Can you please share the order number so I can check? [USR] It's 98765.,give_order_id
[INT] [BOT]  [USR] Where is my order? I placed it last week. The order ID is 12912.,track_order
[INT] [BOT]  [USR] Where is order 12345?,track_order
"[INT] [BOT]  [USR] I am wondering about the status of my order. Can you check that for me, here is the order 212142.",track_order
[INT] [BOT]  [USR] Track my order number 67890.,track_order
[INT] [BOT]  [USR] What is the status of my order 987654?,track_order
[INT] [BOT]  [USR] Can you check my order 12345?,track_order
[INT] [BOT]  [USR] I was wondering where my 121243 order is?,track_order
"[INT] [BOT]  [USR] Order 121435, whats the status?",track_order
[INT] [BOT]  [USR] I need to track my order 23456.,track_order
[INT] [BOT]  [USR] Order number 34567 status?,track_order
[INT] [BOT]  [USR] Track 98765 for me.,track_order
[INT] [BOT]  [USR] Order 12345 status?,track_order
[INT] [BOT]  [USR] Order 12345 status?,track_order
[INT] [BOT]  [USR] I need to check all my orders,list_orders
[INT] [BOT]  [USR] Could you provide me with an order summary?,list_orders
[INT] [BOT]  [USR] Please show me a list of all the orders I’ve made,list_orders
[INT] [BOT]  [USR] Please show me a list of all the orders I’ve made before 21 November 2024 and after 10 April 2024,list_orders
[INT] [BOT]  [USR] Can you display a full list of my past 5 orders?,list_orders
[INT] [BOT]  [USR] Hey I want you to list all the orders that I have placed before 20th June 2024,list_orders
[INT] [BOT]  [USR] Hey Can you give me my past orders?,list_orders
[INT] list_orders [BOT] Do you need to filter anything? [USR] Yeah give me just 32 of them,give_list_order_params
[INT] [BOT]  [USR] I just want to know my previous 10 orders can you list them for me?,list_orders
[INT] [BOT]  [USR] Can you list some of my previous orders?,list_orders
[INT] list_orders [BOT] Sure? Are there any specific orders that you want to list? [USR] Yeah just list 5 of them between 12 June 2023 and 1 Jan 2024.,give_list_order_params
[INT] [BOT]  [USR] Hey I want to cancel one of my orders,cancel_order
[INT] cancel_order [BOT] Can you please share the reason for this? [USR] I just got the product somewhere else at a cheap price,give_reason
[INT] [BOT]  [USR] Hey I want to cancel one of my orders,cancel_order
[INT] cancel_order [BOT] Can you please share the order Id of that order? [USR] 192141,give_order_id
[INT] give_order_id [BOT] Are you sure? [USR] Yes I am sure!,confirm_command
[INT] [BOT]  [USR] Hey can you cancel my last order?,cancel_order
[INT] cancel_order [BOT] We are sorry to hear that can you state the reason for doing so? [USR] I just felt that I don't really need the product,give_reason
[INT] [BOT]  [USR] I want to cancel my order #56789,cancel_order
[INT] cancel_order [BOT] Can you share the reason for cancellation? [USR] The product was damaged when it arrived.,give_reason
[INT] [BOT]  [USR] Cancel the order with ID 1234567,cancel_order
"[INT] cancel_order [BOT] Can you confirm the cancellation for order 1234567? [USR] Yes, please proceed.",confirm_command
[INT] [BOT]  [USR] I need to cancel the order I placed yesterday.,cancel_order
[INT] cancel_order [BOT] Could you provide a reason for cancellation? [USR] The delivery time was too long for me.,give_reason
[INT] [BOT]  [USR] Can you cancel order 786540?,cancel_order
[INT] cancel_order [BOT] We are sorry to hear that. Can you state the reason? [USR] I found a better alternative.,give_reason
[INT] [BOT]  [USR] Cancel the last item I ordered.,cancel_order
"[INT] cancel_order [BOT] Please confirm the cancellation of your last order. [USR] Yes, confirm it.",confirm_command
[INT] [BOT]  [USR] I’d like to cancel my most recent order.,cancel_order
[INT] cancel_order [BOT] Could you tell us why you wish to cancel this order? [USR] The size of the product was incorrect.,give_reason
[INT] [BOT]  [USR] Can you help me cancel order ID 432198?,cancel_order
[INT] cancel_order [BOT] What’s the reason for canceling this order? [USR] I ordered the wrong item by mistake.,give_reason
[INT] [BOT]  [USR] Cancel my order with ID 889700.,cancel_order
"[INT] cancel_order [BOT] We are sorry for the inconvenience. Could you confirm the cancellation? [USR] Yes, cancel it.",confirm_command
[INT] [BOT]  [USR] I need to cancel the order I placed today.,cancel_order
"[INT] cancel_order [BOT] Can you confirm cancellation for the order placed today? [USR] Yes, I’m sure.",confirm_command
[INT] [BOT]  [USR] I’d like to cancel my recent order with ID 321654.,cancel_order
[INT] cancel_order [BOT] What’s the reason for canceling this order? [USR] I changed my mind about the purchase.,give_reason
[INT] [BOT]  [USR] Cancel order number 998877.,cancel_order
"[INT] cancel_order [BOT] Could you confirm cancellation of order number 998877? [USR] Yes, please cancel it.",confirm_command
[INT] [BOT]  [USR] Cancel my order with ID 112233.,cancel_order
[INT] cancel_order [BOT] Could you share the reason for cancellation? [USR] The product doesn’t meet my expectations.,give_reason
[INT] [BOT]  [USR] I want to cancel my order 445566.,cancel_order
"[INT] cancel_order [BOT] Are you sure you want to cancel this order? [USR] Yes, I am sure.",confirm_command
[INT] [BOT]  [USR] Please cancel my previous order.,cancel_order
[INT] cancel_order [BOT] We are sorry to hear that. Can you provide a reason? [USR] The product doesn’t match the description.,give_reason
[INT] [BOT]  [USR] I want to cancel order ID 667788.,cancel_order
"[INT] cancel_order [BOT] Can you confirm that you’d like to cancel order ID 667788? [USR] Yes, proceed.",confirm_command
[INT] [BOT]  [USR] I want to cancel order 998877.,cancel_order
"[INT] cancel_order [BOT] Can you confirm the cancellation of order 998877? [USR] No, I changed my mind.",confirm_command
[INT] [BOT]  [USR] Please cancel my latest order.,cancel_order
"[INT] cancel_order [BOT] Can you confirm the cancellation of your latest order? [USR] No, don’t cancel it.",confirm_command
[INT] [BOT]  [USR] I’d like to cancel the order with ID 112233.,cancel_order
"[INT] cancel_order [BOT] Are you sure you want to cancel order 112233? [USR] No, leave it as is.",confirm_command
"[INT] [BOT]  [USR] Cancel my most recent order, please.",cancel_order
"[INT] cancel_order [BOT] Can you confirm the cancellation of your most recent order? [USR] No, don’t proceed with it.",confirm_command
[INT] [BOT]  [USR] I want to cancel my order 776655.,cancel_order
"[INT] cancel_order [BOT] Can you confirm that you’d like to cancel order 776655? [USR] No, I’d like to keep it.",confirm_command
[INT] [BOT]  [USR] Can you cancel my order with ID 334455?,cancel_order
"[INT] cancel_order [BOT] Are you sure you want to cancel this order? [USR] No, ignore my request.",confirm_command
"[INT] [BOT]  [USR] Cancel order ID 556677, please.",cancel_order
"[INT] cancel_order [BOT] Can you confirm the cancellation of order ID 556677? [USR] No, it’s fine as it is.",confirm_command
[INT] [BOT]  [USR] Cancel my last order.,cancel_order
"[INT] cancel_order [BOT] Can you confirm that you want to cancel your last order? [USR] No, let’s keep it.",confirm_command
[INT] [BOT]  [USR] I want to cancel my order 443322.,cancel_order
"[INT] cancel_order [BOT] Are you sure you want to proceed with this cancellation? [USR] No, cancel this request.",confirm_command
