instruction,labels
[INT] [BOT]  [USR] Hey can i get the status of my latest order?,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"[INT] track_order [BOT] Sure! Could you provide me with the order ID? [USR] Yeah, the order ID is 121212.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORD', 'O']"
[INT] [BOT]  [USR] I want to get the status of order 12121.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORD', 'O']"
[INT] [BOT]  [USR] Can you share the details of an order?,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"[INT] track_order [BOT] Yeah can you provide me with the order ID? [USR] Yeah, I will share the order ID. It is 212131413.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORD', 'O']"
[INT] [BOT]  [USR] Could you tell me the status of my recent order?,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
[INT] track_order [BOT] Sure! Could you provide me with the order ID? [USR] The order ID is 54321,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORD']"
[INT] [BOT]  [USR] I want to know where my order is. Can you help me?,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
[INT] track_order [BOT] Absolutely! Could you provide me with the order number? [USR] Yeah the order number is 987654321,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORD']"
[INT] [BOT]  [USR] Can you provide me with an update on my order?,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
[INT] track_order [BOT] For which order would you like an update? [USR] Order ID is 5643.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORD', 'O']"
[INT] [BOT]  [USR] Where is my order? I placed it recently.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
[INT] track_order [BOT] Can you provide me with the order ID? [USR] I looked up my order history and i found that the order id is 212142.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORD', 'O']"
[INT] [BOT]  [USR] Can you help me track my order?,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
[INT] track_order [BOT] Sure! Could you provide me with your order number? [USR] It's 12345.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORD', 'O']"
[INT] [BOT]  [USR] Where is my order?,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
[INT] track_order [BOT] Can you share the order number so I can check for you? [USR] It's 67890.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORD', 'O']"
[INT] [BOT]  [USR] I'd like to know the status of my order.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
[INT] track_order [BOT] Please provide your order number. [USR] It’s 23456.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORD', 'O']"
[INT] [BOT]  [USR] I'd like to check the status of my order.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
[INT] track_order [BOT] Please provide your order number. [USR] 67890.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORD', 'O']"
[INT] [BOT]  [USR] Can you tell me where my order is?,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
[INT] track_order [BOT] Could you please provide the order number? [USR] My order number is 34567.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORD', 'O']"
[INT] [BOT]  [USR] Where is my package? I need to track it.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
[INT] track_order [BOT] Can you please share the order number so I can check? [USR] It's 98765.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORD', 'O']"
[INT] [BOT]  [USR] Where is my order? I placed it last week. The order ID is 12912.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORD', 'O']"
[INT] [BOT]  [USR] Where is order 12345?,"['O', 'O', 'O', 'O', 'O', 'O', 'B-ORD', 'O']"
"[INT] [BOT]  [USR] I am wondering about the status of my order. Can you check that for me, here is the order 212142.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORD', 'O']"
[INT] [BOT]  [USR] Track my order number 67890.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORD', 'O']"
[INT] [BOT]  [USR] What is the status of my order 987654?,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORD', 'O']"
[INT] [BOT]  [USR] Can you check my order 12345?,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORD', 'O']"
[INT] [BOT]  [USR] I was wondering where my 121243 order is?,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORD', 'O', 'O']"
"[INT] [BOT]  [USR] Order 121435, whats the status?","['O', 'O', 'O', 'O', 'B-ORD', 'O', 'O', 'O', 'O', 'O']"
[INT] [BOT]  [USR] I need to track my order 23456.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORD', 'O']"
[INT] [BOT]  [USR] Order number 34567 status?,"['O', 'O', 'O', 'O', 'O', 'B-ORD', 'O', 'O']"
[INT] [BOT]  [USR] Track 98765 for me.,"['O', 'O', 'O', 'O', 'B-ORD', 'O', 'O', 'O']"
[INT] [BOT]  [USR] Order 12345 status?,"['O', 'O', 'O', 'O', 'B-ORD', 'O', 'O']"
[INT] [BOT]  [USR] Order 12345 status?,"['O', 'O', 'O', 'O', 'B-ORD', 'O', 'O']"
[INT] [BOT]  [USR] I need to check all my orders,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
[INT] [BOT]  [USR] Could you provide me with an order summary?,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
[INT] [BOT]  [USR] Please show me a list of all the orders I’ve made,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
[INT] [BOT]  [USR] Please show me a list of all the orders I’ve made before 21 November 2024 and after 10 April 2024,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-END_DATE', 'I-END_DATE', 'I-END_DATE', 'O', 'O', 'B-START_DATE', 'I-START_DATE', 'I-START_DATE']"
[INT] [BOT]  [USR] Can you display a full list of my past 5 orders?,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-COUNT', 'O', 'O']"
[INT] [BOT]  [USR] Hey I want you to list all the orders that I have placed before 20th June 2024,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-START_DATE', 'I-START_DATE', 'I-START_DATE']"
[INT] [BOT]  [USR] Hey Can you give me my past orders?,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
[INT] list_orders [BOT] Do you need to filter anything? [USR] Yeah give me just 32 of them,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-COUNT', 'O', 'O']"
[INT] [BOT]  [USR] I just want to know my previous 10 orders can you list them for me?,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-COUNT', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
[INT] [BOT]  [USR] Can you list some of my previous orders?,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
[INT] list_orders [BOT] Sure? Are there any specific orders that you want to list? [USR] Yeah just list 5 of them between 12 June 2023 and 1 Jan 2024.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-COUNT', 'O', 'O', 'O', 'B-START_DATE', 'I-START_DATE', 'I-START_DATE', 'O', 'B-END_DATE', 'I-END_DATE', 'I-END_DATE', 'O']"
[INT] [BOT]  [USR] Hey I want to cancel one of my orders,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
[INT] cancel_order [BOT] Can you please share the reason for this? [USR] I just got the product somewhere else at a cheap price,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-REASON', 'I-REASON', 'I-REASON', 'I-REASON', 'I-REASON', 'I-REASON', 'I-REASON', 'I-REASON', 'I-REASON', 'I-REASON', 'I-REASON']"
[INT] [BOT]  [USR] Hey I want to cancel one of my orders,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
[INT] cancel_order [BOT] Can you please share the order Id of that order? [USR] 192141,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORD']"
[INT] give_order_id [BOT] Are you sure? [USR] Yes I am sure!,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CONFIRMATION', 'O', 'O', 'O', 'O']"
[INT] [BOT]  [USR] Hey can you cancel my last order?,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORD', 'O', 'O']"
[INT] cancel_order [BOT] We are sorry to hear that can you state the reason for doing so? [USR] I just felt that I don't really need the product,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-REASON', 'I-REASON', 'I-REASON', 'I-REASON', 'I-REASON', 'I-REASON', 'I-REASON', 'I-REASON', 'I-REASON', 'I-REASON', 'I-REASON', 'I-REASON']"
[INT] [BOT]  [USR] I want to cancel my order #56789,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORD']"
[INT] cancel_order [BOT] Can you share the reason for cancellation? [USR] The product was damaged when it arrived.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-REASON', 'I-REASON', 'I-REASON', 'I-REASON', 'I-REASON', 'I-REASON', 'I-REASON', 'O']"
[INT] [BOT]  [USR] Cancel the order with ID 1234567,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORD']"
"[INT] cancel_order [BOT] Can you confirm the cancellation for order 1234567? [USR] Yes, please proceed.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AFFIRMATION', 'O', 'O', 'O', 'O']"
[INT] [BOT]  [USR] I need to cancel the order I placed yesterday.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORD', 'O']"
[INT] cancel_order [BOT] Could you provide a reason for cancellation? [USR] The delivery time was too long for me.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-REASON', 'I-REASON', 'I-REASON', 'I-REASON', 'I-REASON', 'I-REASON', 'I-REASON', 'O', 'O']"
[INT] [BOT]  [USR] Can you cancel order 786540?,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORD', 'O']"
[INT] cancel_order [BOT] We are sorry to hear that. Can you state the reason? [USR] I found a better alternative.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-REASON', 'I-REASON', 'I-REASON', 'I-REASON', 'I-REASON', 'O']"
[INT] [BOT]  [USR] Cancel the last item I ordered.,"['O', 'O', 'O', 'O', 'O', 'B-ORD', 'O', 'O', 'O', 'O']"
"[INT] cancel_order [BOT] Please confirm the cancellation of your last order. [USR] Yes, confirm it.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AFFIRMATION', 'O', 'O', 'O', 'O']"
[INT] [BOT]  [USR] I’d like to cancel my most recent order.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORD', 'O', 'O']"
[INT] cancel_order [BOT] Could you tell us why you wish to cancel this order? [USR] The size of the product was incorrect.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-REASON', 'I-REASON', 'I-REASON', 'I-REASON', 'I-REASON', 'I-REASON', 'I-REASON', 'O']"
[INT] [BOT]  [USR] Can you help me cancel order ID 432198?,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORD', 'O']"
[INT] cancel_order [BOT] What’s the reason for canceling this order? [USR] I ordered the wrong item by mistake.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-REASON', 'I-REASON', 'I-REASON', 'I-REASON', 'I-REASON', 'I-REASON', 'I-REASON', 'O']"
[INT] [BOT]  [USR] Cancel my order with ID 889700.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORD', 'O']"
"[INT] cancel_order [BOT] We are sorry for the inconvenience. Could you confirm the cancellation? [USR] Yes, cancel it.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CONFIRMATION', 'O', 'O', 'O', 'O']"
[INT] [BOT]  [USR] I need to cancel the order I placed today.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORD', 'O']"
"[INT] cancel_order [BOT] Can you confirm cancellation for the order placed today? [USR] Yes, I’m sure.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AFFIRMATION', 'O', 'O', 'O', 'O', 'O', 'O']"
[INT] [BOT]  [USR] I’d like to cancel my recent order with ID 321654.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORD', 'O']"
[INT] cancel_order [BOT] What’s the reason for canceling this order? [USR] I changed my mind about the purchase.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-REASON', 'I-REASON', 'I-REASON', 'I-REASON', 'I-REASON', 'I-REASON', 'I-REASON', 'O']"
[INT] [BOT]  [USR] Cancel order number 998877.,"['O', 'O', 'O', 'O', 'O', 'O', 'B-ORD', 'O']"
"[INT] cancel_order [BOT] Could you confirm cancellation of order number 998877? [USR] Yes, please cancel it.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AFFIRMATION', 'O', 'O', 'O', 'O', 'O']"
[INT] [BOT]  [USR] Cancel my order with ID 112233.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORD', 'O']"
[INT] cancel_order [BOT] Could you share the reason for cancellation? [USR] The product doesn’t meet my expectations.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-REASON', 'I-REASON', 'I-REASON', 'I-REASON', 'I-REASON', 'I-REASON', 'I-REASON', 'I-REASON', 'O']"
[INT] [BOT]  [USR] I want to cancel my order 445566.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORD', 'O']"
"[INT] cancel_order [BOT] Are you sure you want to cancel this order? [USR] Yes, I am sure.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AFFIRMATION', 'O', 'O', 'O', 'O', 'O']"
[INT] [BOT]  [USR] Please cancel my previous order.,"['O', 'O', 'O', 'O', 'O', 'O', 'B-ORD', 'O', 'O']"
[INT] cancel_order [BOT] We are sorry to hear that. Can you provide a reason? [USR] The product doesn’t match the description.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-REASON', 'I-REASON', 'I-REASON', 'I-REASON', 'I-REASON', 'I-REASON', 'I-REASON', 'I-REASON', 'O']"
[INT] [BOT]  [USR] I want to cancel order ID 667788.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORD', 'O']"
"[INT] cancel_order [BOT] Can you confirm that you’d like to cancel order ID 667788? [USR] Yes, proceed.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AFFIRMATION', 'O', 'O', 'O']"
[INT] [BOT]  [USR] I want to cancel order 998877.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORD', 'O']"
"[INT] cancel_order [BOT] Can you confirm the cancellation of order 998877? [USR] No, I changed my mind.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AFFIRMATION', 'O', 'O', 'O', 'O', 'O', 'O']"
[INT] [BOT]  [USR] Please cancel my latest order.,"['O', 'O', 'O', 'O', 'O', 'O', 'B-ORD', 'O', 'O']"
"[INT] cancel_order [BOT] Can you confirm the cancellation of your latest order? [USR] No, don’t cancel it.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AFFIRMATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
[INT] [BOT]  [USR] I’d like to cancel the order with ID 112233.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORD', 'O']"
"[INT] cancel_order [BOT] Are you sure you want to cancel order 112233? [USR] No, leave it as is.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AFFIRMATION', 'O', 'O', 'O', 'O', 'O', 'O']"
"[INT] [BOT]  [USR] Cancel my most recent order, please.","['O', 'O', 'O', 'O', 'O', 'O', 'B-ORD', 'O', 'O', 'O', 'O']"
"[INT] cancel_order [BOT] Can you confirm the cancellation of your most recent order? [USR] No, don’t proceed with it.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AFFIRMATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
[INT] [BOT]  [USR] I want to cancel my order 776655.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORD', 'O']"
"[INT] cancel_order [BOT] Can you confirm that you’d like to cancel order 776655? [USR] No, I’d like to keep it.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AFFIRMATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
[INT] [BOT]  [USR] Can you cancel my order with ID 334455?,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORD', 'O']"
"[INT] cancel_order [BOT] Are you sure you want to cancel this order? [USR] No, ignore my request.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AFFIRMATION', 'O', 'O', 'O', 'O', 'O']"
"[INT] [BOT]  [USR] Cancel order ID 556677, please.","['O', 'O', 'O', 'O', 'O', 'O', 'B-ORD', 'O', 'O', 'O']"
"[INT] cancel_order [BOT] Can you confirm the cancellation of order ID 556677? [USR] No, it’s fine as it is.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AFFIRMATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
[INT] [BOT]  [USR] Cancel my last order.,"['O', 'O', 'O', 'O', 'O', 'B-ORD', 'O', 'O']"
"[INT] cancel_order [BOT] Can you confirm that you want to cancel your last order? [USR] No, let’s keep it.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AFFIRMATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
[INT] [BOT]  [USR] I want to cancel my order 443322.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORD', 'O']"
"[INT] cancel_order [BOT] Are you sure you want to proceed with this cancellation? [USR] No, cancel this request.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AFFIRMATION', 'O', 'O', 'O', 'O', 'O']"
